Date,City,Crime,Crime Group,Violence Rating,Year
2018-01-01,Seattle,All Other Offenses,Other,0,2018
2018-01-02,Seattle,All Other Offenses,Other,0,2018
2018-01-03,Seattle,Simple Assault,Assault,6,2018
2018-01-04,Seattle,Simple Assault,Assault,6,2018
2018-01-05,Seattle,Theft From Building,Theft,1,2018
2018-01-06,Seattle,All Other Offenses,Other,0,2018
2018-01-07,Seattle,All Other Larceny,Theft,1,2018
2018-01-08,Seattle,Theft From Building,Theft,1,2018
2018-01-09,Seattle,Weapon Law Violations,Misdemeanor,1,2018
2018-01-10,Seattle,All Other Offenses,Other,0,2018
2018-01-11,Seattle,All Other Offenses,Other,0,2018
2018-01-12,Seattle,All Other Offenses,Other,0,2018
2018-01-13,Seattle,All Other Offenses,Other,0,2018
2018-01-14,Seattle,Simple Assault,Assault,6,2018
2018-01-15,Seattle,Credit Card/Automated Teller Machine Fraud,Fraud,1,2018
2018-01-16,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-01-17,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-01-18,Seattle,Counterfeiting/Forgery,Fraud,1,2018
2018-01-19,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-01-20,Seattle,Simple Assault,Assault,6,2018
2018-01-21,Seattle,Aggravated Assault,Assault,6,2018
2018-01-22,Seattle,Theft From Building,Theft,1,2018
2018-01-23,Seattle,All Other Offenses,Other,0,2018
2018-01-24,Seattle,All Other Offenses,Other,0,2018
2018-01-25,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-01-26,Seattle,Liquor Law Violations,Misdemeanor,1,2018
2018-01-27,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-01-28,Seattle,All Other Offenses,Other,0,2018
2018-01-29,Seattle,Simple Assault,Assault,6,2018
2018-01-30,Seattle,Kidnapping/Abduction,Assault,6,2018
2018-01-31,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-02-01,Seattle,Intimidation,Assault,6,2018
2018-02-02,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-02-03,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-02-04,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-02-05,Seattle,Shoplifting,Theft,1,2018
2018-02-06,Seattle,Simple Assault,Assault,6,2018
2018-02-07,Seattle,Impersonation,Public Order,2,2018
2018-02-08,Seattle,Drug/Narcotic Violations,Drug Offense,2,2018
2018-02-09,Seattle,All Other Larceny,Theft,1,2018
2018-02-10,Seattle,Credit Card/Automated Teller Machine Fraud,Fraud,1,2018
2018-02-11,Seattle,All Other Offenses,Other,0,2018
2018-02-12,Seattle,Driving Under the Influence,Public Order,2,2018
2018-02-13,Seattle,Trespass of Real,Trespassing,3,2018
2018-02-14,Seattle,Aggravated Assault,Assault,6,2018
2018-02-15,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-02-16,Seattle,Not Reportable to NIBRS,Uncategorized,0,2018
2018-02-17,Seattle,All Other Offenses,Other,0,2018
2018-02-18,Seattle,Motor Vehicle Theft,Theft,1,2018
2018-02-19,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-02-20,Seattle,All Other Offenses,Other,0,2018
2018-02-21,Seattle,Credit Card/Automated Teller Machine Fraud,Fraud,1,2018
2018-02-22,Seattle,All Other Offenses,Other,0,2018
2018-02-23,Seattle,Robbery,Robbery,8,2018
2018-02-24,Seattle,Aggravated Assault,Assault,6,2018
2018-02-25,Seattle,Trespass of Real,Trespassing,3,2018
2018-02-26,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-02-27,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-02-28,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-03-01,Seattle,All Other Larceny,Theft,1,2018
2018-03-02,Seattle,Shoplifting,Theft,1,2018
2018-03-03,Seattle,Driving Under the Influence,Public Order,2,2018
2018-03-04,Seattle,All Other Offenses,Other,0,2018
2018-03-05,Seattle,Motor Vehicle Theft,Theft,1,2018
2018-03-06,Seattle,All Other Larceny,Theft,1,2018
2018-03-07,Seattle,Drug/Narcotic Violations,Drug Offense,2,2018
2018-03-08,Seattle,Motor Vehicle Theft,Theft,1,2018
2018-03-09,Seattle,All Other Offenses,Other,0,2018
2018-03-10,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-03-11,Seattle,Shoplifting,Theft,1,2018
2018-03-12,Seattle,All Other Offenses,Other,0,2018
2018-03-13,Seattle,Theft From Building,Theft,1,2018
2018-03-14,Seattle,All Other Offenses,Other,0,2018
2018-03-15,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-03-16,Seattle,All Other Offenses,Other,0,2018
2018-03-17,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-03-18,Seattle,All Other Offenses,Other,0,2018
2018-03-19,Seattle,Violation of No Contact Orders,Public Order,2,2018
2018-03-20,Seattle,All Other Offenses,Other,0,2018
2018-03-21,Seattle,Trespass of Real,Trespassing,3,2018
2018-03-22,Seattle,All Other Offenses,Other,0,2018
2018-03-23,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-03-24,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-03-25,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-03-26,Seattle,Violation of No Contact Orders,Public Order,2,2018
2018-03-27,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-03-28,Seattle,Motor Vehicle Theft,Theft,1,2018
2018-03-29,Seattle,All Other Larceny,Theft,1,2018
2018-03-30,Seattle,Violation of No Contact Orders,Public Order,2,2018
2018-03-31,Seattle,All Other Offenses,Other,0,2018
2018-04-01,Seattle,Shoplifting,Theft,1,2018
2018-04-02,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-04-03,Seattle,Driving Under the Influence,Public Order,2,2018
2018-04-04,Seattle,Motor Vehicle Theft,Theft,1,2018
2018-04-05,Seattle,All Other Offenses,Other,0,2018
2018-04-06,Seattle,All Other Larceny,Theft,1,2018
2018-04-07,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-04-08,Seattle,Driving Under the Influence,Public Order,2,2018
2018-04-09,Seattle,Motor Vehicle Theft,Theft,1,2018
2018-04-10,Seattle,All Other Offenses,Other,0,2018
2018-04-11,Seattle,All Other Offenses,Other,0,2018
2018-04-12,Seattle,Theft of Motor Vehicle Parts or Accessories,Theft,1,2018
2018-04-13,Seattle,All Other Larceny,Theft,1,2018
2018-04-14,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-04-15,Seattle,Aggravated Assault,Assault,6,2018
2018-04-16,Seattle,All Other Offenses,Other,0,2018
2018-04-17,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-04-18,Seattle,All Other Offenses,Other,0,2018
2018-04-19,Seattle,Aggravated Assault,Assault,6,2018
2018-04-20,Seattle,All Other Offenses,Other,0,2018
2018-04-21,Seattle,Motor Vehicle Theft,Theft,1,2018
2018-04-22,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-04-23,Seattle,False Pretenses/Swindle/Confidence Game,Fraud,1,2018
2018-04-24,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-04-25,Seattle,Shoplifting,Theft,1,2018
2018-04-26,Seattle,All Other Offenses,Other,0,2018
2018-04-27,Seattle,Theft of Motor Vehicle Parts or Accessories,Theft,1,2018
2018-04-28,Seattle,Robbery,Robbery,8,2018
2018-04-29,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-04-30,Seattle,All Other Offenses,Other,0,2018
2018-05-01,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-05-02,Seattle,All Other Offenses,Other,0,2018
2018-05-03,Seattle,Aggravated Assault,Assault,6,2018
2018-05-04,Seattle,All Other Offenses,Other,0,2018
2018-05-05,Seattle,All Other Offenses,Other,0,2018
2018-05-06,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-05-07,Seattle,Aggravated Assault,Assault,6,2018
2018-05-08,Seattle,All Other Offenses,Other,0,2018
2018-05-09,Seattle,All Other Larceny,Theft,1,2018
2018-05-10,Seattle,False Pretenses/Swindle/Confidence Game,Fraud,1,2018
2018-05-11,Seattle,Simple Assault,Assault,6,2018
2018-05-12,Seattle,All Other Larceny,Theft,1,2018
2018-05-13,Seattle,Robbery,Robbery,8,2018
2018-05-14,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-05-15,Seattle,Trespass of Real,Trespassing,3,2018
2018-05-16,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-05-17,Seattle,All Other Offenses,Other,0,2018
2018-05-18,Seattle,All Other Offenses,Other,0,2018
2018-05-19,Seattle,All Other Offenses,Other,0,2018
2018-05-20,Seattle,Shoplifting,Theft,1,2018
2018-05-21,Seattle,Theft From Building,Theft,1,2018
2018-05-22,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-05-23,Seattle,All Other Offenses,Other,0,2018
2018-05-24,Seattle,All Other Larceny,Theft,1,2018
2018-05-25,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-05-26,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-05-27,Seattle,Simple Assault,Assault,6,2018
2018-05-28,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-05-29,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-05-30,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-05-31,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-06-01,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-06-02,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-06-03,Seattle,Violation of No Contact Orders,Public Order,2,2018
2018-06-04,Seattle,Simple Assault,Assault,6,2018
2018-06-05,Seattle,Motor Vehicle Theft,Theft,1,2018
2018-06-06,Seattle,Motor Vehicle Theft,Theft,1,2018
2018-06-07,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-06-08,Seattle,Prostitution,Sexual Misconduct,7,2018
2018-06-09,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-06-10,Seattle,All Other Offenses,Other,0,2018
2018-06-11,Seattle,Motor Vehicle Theft,Theft,1,2018
2018-06-12,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-06-13,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-06-14,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-06-15,Seattle,Motor Vehicle Theft,Theft,1,2018
2018-06-16,Seattle,All Other Larceny,Theft,1,2018
2018-06-17,Seattle,All Other Offenses,Other,0,2018
2018-06-18,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-06-19,Seattle,Intimidation,Assault,6,2018
2018-06-20,Seattle,Shoplifting,Theft,1,2018
2018-06-21,Seattle,Simple Assault,Assault,6,2018
2018-06-22,Seattle,All Other Larceny,Theft,1,2018
2018-06-23,Seattle,Simple Assault,Assault,6,2018
2018-06-24,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-06-25,Seattle,All Other Offenses,Other,0,2018
2018-06-26,Seattle,Identity Theft,Theft,1,2018
2018-06-27,Seattle,All Other Offenses,Other,0,2018
2018-06-28,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-06-29,Seattle,Counterfeiting/Forgery,Fraud,1,2018
2018-06-30,Seattle,Aggravated Assault,Assault,6,2018
2018-07-01,Seattle,Wire Fraud,Fraud,1,2018
2018-07-02,Seattle,Trespass of Real,Trespassing,3,2018
2018-07-03,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-07-04,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-07-05,Seattle,All Other Offenses,Other,0,2018
2018-07-06,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-07-07,Seattle,Simple Assault,Assault,6,2018
2018-07-08,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-07-09,Seattle,Violation of No Contact Orders,Public Order,2,2018
2018-07-10,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-07-11,Seattle,Simple Assault,Assault,6,2018
2018-07-12,Seattle,Simple Assault,Assault,6,2018
2018-07-13,Seattle,Shoplifting,Theft,1,2018
2018-07-14,Seattle,Violation of No Contact Orders,Public Order,2,2018
2018-07-15,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-07-16,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-07-17,Seattle,Bad Checks,Fraud,1,2018
2018-07-18,Seattle,Simple Assault,Assault,6,2018
2018-07-19,Seattle,All Other Offenses,Other,0,2018
2018-07-20,Seattle,Motor Vehicle Theft,Theft,1,2018
2018-07-21,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-07-22,Seattle,All Other Larceny,Theft,1,2018
2018-07-23,Seattle,Trespass of Real,Trespassing,3,2018
2018-07-24,Seattle,Sodomy,Sexual Assault,9,2018
2018-07-25,Seattle,Simple Assault,Assault,6,2018
2018-07-26,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-07-27,Seattle,Extortion/Blackmail,Sexual Misconduct,7,2018
2018-07-28,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-07-29,Seattle,All Other Offenses,Other,0,2018
2018-07-30,Seattle,Trespass of Real,Trespassing,3,2018
2018-07-31,Seattle,False Pretenses/Swindle/Confidence Game,Fraud,1,2018
2018-08-01,Seattle,Trespass of Real,Trespassing,3,2018
2018-08-02,Seattle,Shoplifting,Theft,1,2018
2018-08-03,Seattle,Shoplifting,Theft,1,2018
2018-08-04,Seattle,Motor Vehicle Theft,Theft,1,2018
2018-08-05,Seattle,Credit Card/Automated Teller Machine Fraud,Fraud,1,2018
2018-08-06,Seattle,All Other Offenses,Other,0,2018
2018-08-07,Seattle,Intimidation,Assault,6,2018
2018-08-08,Seattle,All Other Larceny,Theft,1,2018
2018-08-09,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-08-10,Seattle,Robbery,Robbery,8,2018
2018-08-11,Seattle,Aggravated Assault,Assault,6,2018
2018-08-12,Seattle,Intimidation,Assault,6,2018
2018-08-13,Seattle,All Other Offenses,Other,0,2018
2018-08-14,Seattle,Shoplifting,Theft,1,2018
2018-08-15,Seattle,Drug/Narcotic Violations,Drug Offense,2,2018
2018-08-16,Seattle,All Other Offenses,Other,0,2018
2018-08-17,Seattle,Simple Assault,Assault,6,2018
2018-08-18,Seattle,All Other Larceny,Theft,1,2018
2018-08-19,Seattle,Simple Assault,Assault,6,2018
2018-08-20,Seattle,Prostitution,Sexual Misconduct,7,2018
2018-08-21,Seattle,All Other Offenses,Other,0,2018
2018-08-22,Seattle,Intimidation,Assault,6,2018
2018-08-23,Seattle,All Other Offenses,Other,0,2018
2018-08-24,Seattle,Aggravated Assault,Assault,6,2018
2018-08-25,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-08-26,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-08-27,Seattle,Impersonation,Public Order,2,2018
2018-08-28,Seattle,Drug/Narcotic Violations,Drug Offense,2,2018
2018-08-29,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-08-30,Seattle,Intimidation,Assault,6,2018
2018-08-31,Seattle,All Other Offenses,Other,0,2018
2018-09-01,Seattle,Rape,Sexual Assault,9,2018
2018-09-02,Seattle,Intimidation,Assault,6,2018
2018-09-03,Seattle,Liquor Law Violations,Misdemeanor,1,2018
2018-09-04,Seattle,All Other Offenses,Other,0,2018
2018-09-05,Seattle,All Other Offenses,Other,0,2018
2018-09-06,Seattle,Driving Under the Influence,Public Order,2,2018
2018-09-07,Seattle,Robbery,Robbery,8,2018
2018-09-08,Seattle,All Other Larceny,Theft,1,2018
2018-09-09,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-09-10,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-09-11,Seattle,Shoplifting,Theft,1,2018
2018-09-12,Seattle,Intimidation,Assault,6,2018
2018-09-13,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-09-14,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-09-15,Seattle,Motor Vehicle Theft,Theft,1,2018
2018-09-16,Seattle,Robbery,Robbery,8,2018
2018-09-17,Seattle,Trespass of Real,Trespassing,3,2018
2018-09-18,Seattle,Aggravated Assault,Assault,6,2018
2018-09-19,Seattle,All Other Larceny,Theft,1,2018
2018-09-20,Seattle,All Other Larceny,Theft,1,2018
2018-09-21,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-09-22,Seattle,All Other Larceny,Theft,1,2018
2018-09-23,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-09-24,Seattle,Shoplifting,Theft,1,2018
2018-09-25,Seattle,All Other Offenses,Other,0,2018
2018-09-26,Seattle,Intimidation,Assault,6,2018
2018-09-27,Seattle,Theft From Building,Theft,1,2018
2018-09-28,Seattle,-,Uncategorized,0,2018
2018-09-29,Seattle,Drug/Narcotic Violations,Drug Offense,2,2018
2018-09-30,Seattle,Drug/Narcotic Violations,Drug Offense,2,2018
2018-10-01,Seattle,Identity Theft,Theft,1,2018
2018-10-02,Seattle,Trespass of Real,Trespassing,3,2018
2018-10-03,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-10-04,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-10-05,Seattle,Trespass of Real,Trespassing,3,2018
2018-10-06,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-10-07,Seattle,Trespass of Real,Trespassing,3,2018
2018-10-08,Seattle,All Other Offenses,Other,0,2018
2018-10-09,Seattle,Intimidation,Assault,6,2018
2018-10-10,Seattle,All Other Offenses,Other,0,2018
2018-10-11,Seattle,Theft From Building,Theft,1,2018
2018-10-12,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-10-13,Seattle,Violation of No Contact Orders,Public Order,2,2018
2018-10-14,Seattle,Shoplifting,Theft,1,2018
2018-10-15,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-10-16,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-10-17,Seattle,All Other Offenses,Other,0,2018
2018-10-18,Seattle,Simple Assault,Assault,6,2018
2018-10-19,Seattle,Fondling,Sexual Assault,9,2018
2018-10-20,Seattle,All Other Offenses,Other,0,2018
2018-10-21,Seattle,All Other Offenses,Other,0,2018
2018-10-22,Seattle,"Family Offenses, Nonviolent",Public Order,2,2018
2018-10-23,Seattle,Motor Vehicle Theft,Theft,1,2018
2018-10-24,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-10-25,Seattle,Shoplifting,Theft,1,2018
2018-10-26,Seattle,Simple Assault,Assault,6,2018
2018-10-27,Seattle,Weapon Law Violations,Misdemeanor,1,2018
2018-10-28,Seattle,Driving Under the Influence,Public Order,2,2018
2018-10-29,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-10-30,Seattle,Trespass of Real,Trespassing,3,2018
2018-10-31,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-11-01,Seattle,All Other Larceny,Theft,1,2018
2018-11-02,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-11-03,Seattle,Shoplifting,Theft,1,2018
2018-11-04,Seattle,Shoplifting,Theft,1,2018
2018-11-05,Seattle,Motor Vehicle Theft,Theft,1,2018
2018-11-06,Seattle,Simple Assault,Assault,6,2018
2018-11-07,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-11-08,Seattle,All Other Larceny,Theft,1,2018
2018-11-09,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-11-10,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-11-11,Seattle,Drug/Narcotic Violations,Drug Offense,2,2018
2018-11-12,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-11-13,Seattle,Theft From Building,Theft,1,2018
2018-11-14,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-11-15,Seattle,Simple Assault,Assault,6,2018
2018-11-16,Seattle,Theft From Building,Theft,1,2018
2018-11-17,Seattle,Theft of Motor Vehicle Parts or Accessories,Theft,1,2018
2018-11-18,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-11-19,Seattle,Pocket-picking,Theft,1,2018
2018-11-20,Seattle,Simple Assault,Assault,6,2018
2018-11-21,Seattle,All Other Larceny,Theft,1,2018
2018-11-22,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-11-23,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-11-24,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-11-25,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-11-26,Seattle,Shoplifting,Theft,1,2018
2018-11-27,Seattle,Simple Assault,Assault,6,2018
2018-11-28,Seattle,Simple Assault,Assault,6,2018
2018-11-29,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-11-30,Seattle,Drug/Narcotic Violations,Drug Offense,2,2018
2018-12-01,Seattle,Theft From Building,Theft,1,2018
2018-12-02,Seattle,Simple Assault,Assault,6,2018
2018-12-03,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-12-04,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-12-05,Seattle,Trespass of Real,Trespassing,3,2018
2018-12-06,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-12-07,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-12-08,Seattle,Trespass of Real,Trespassing,3,2018
2018-12-09,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-12-10,Seattle,Shoplifting,Theft,1,2018
2018-12-11,Seattle,Theft From Building,Theft,1,2018
2018-12-12,Seattle,All Other Offenses,Other,0,2018
2018-12-13,Seattle,Simple Assault,Assault,6,2018
2018-12-14,Seattle,Trespass of Real,Trespassing,3,2018
2018-12-15,Seattle,Shoplifting,Theft,1,2018
2018-12-16,Seattle,Stolen Property Offenses,Theft,1,2018
2018-12-17,Seattle,All Other Offenses,Other,0,2018
2018-12-18,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-12-19,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-12-20,Seattle,All Other Offenses,Other,0,2018
2018-12-21,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2018
2018-12-22,Seattle,All Other Larceny,Theft,1,2018
2018-12-23,Seattle,Aggravated Assault,Assault,6,2018
2018-12-24,Seattle,Aggravated Assault,Assault,6,2018
2018-12-25,Seattle,Impersonation,Public Order,2,2018
2018-12-26,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-12-27,Seattle,Simple Assault,Assault,6,2018
2018-12-28,Seattle,Trespass of Real,Trespassing,3,2018
2018-12-29,Seattle,Burglary/Breaking & Entering,Burglary,4,2018
2018-12-30,Seattle,Theft From Motor Vehicle,Theft,1,2018
2018-12-31,Seattle,Simple Assault,Assault,6,2018
2019-01-01,Seattle,Simple Assault,Assault,6,2019
2019-01-02,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2019
2019-01-03,Seattle,Simple Assault,Assault,6,2019
2019-01-04,Seattle,Theft From Motor Vehicle,Theft,1,2019
2019-01-05,Seattle,Driving Under the Influence,Public Order,2,2019
2019-01-06,Seattle,Violation of No Contact Orders,Public Order,2,2019
2019-01-07,Seattle,Impersonation,Public Order,2,2019
2019-01-08,Seattle,Shoplifting,Theft,1,2019
2019-01-09,Seattle,All Other Offenses,Other,0,2019
2019-01-10,Seattle,All Other Larceny,Theft,1,2019
2019-01-11,Seattle,All Other Larceny,Theft,1,2019
2019-01-12,Seattle,All Other Offenses,Other,0,2019
2019-01-13,Seattle,Shoplifting,Theft,1,2019
2019-01-14,Seattle,All Other Offenses,Other,0,2019
2019-01-15,Seattle,Simple Assault,Assault,6,2019
2019-01-16,Seattle,Theft From Motor Vehicle,Theft,1,2019
2019-01-17,Seattle,False Pretenses/Swindle/Confidence Game,Fraud,1,2019
2019-01-18,Seattle,Weapon Law Violations,Misdemeanor,1,2019
2019-01-19,Seattle,Theft From Motor Vehicle,Theft,1,2019
2019-01-20,Seattle,Simple Assault,Assault,6,2019
2019-01-21,Seattle,Motor Vehicle Theft,Theft,1,2019
2019-01-22,Seattle,Burglary/Breaking & Entering,Burglary,4,2019
2019-01-23,Seattle,Impersonation,Public Order,2,2019
2019-01-24,Seattle,Burglary/Breaking & Entering,Burglary,4,2019
2019-01-25,Seattle,All Other Larceny,Theft,1,2019
2019-01-26,Seattle,Burglary/Breaking & Entering,Burglary,4,2019
2019-01-27,Seattle,Theft From Motor Vehicle,Theft,1,2019
2019-01-28,Seattle,Drug/Narcotic Violations,Drug Offense,2,2019
2019-01-29,Seattle,Trespass of Real,Trespassing,3,2019
2019-01-30,Seattle,All Other Offenses,Other,0,2019
2019-01-31,Seattle,Theft From Motor Vehicle,Theft,1,2019
2019-02-01,Seattle,Impersonation,Public Order,2,2019
2019-02-02,Seattle,Theft From Motor Vehicle,Theft,1,2019
2019-02-03,Seattle,All Other Larceny,Theft,1,2019
2019-02-04,Seattle,All Other Offenses,Other,0,2019
2019-02-05,Seattle,Theft of Motor Vehicle Parts or Accessories,Theft,1,2019
2019-02-06,Seattle,Burglary/Breaking & Entering,Burglary,4,2019
2019-02-07,Seattle,Drug/Narcotic Violations,Drug Offense,2,2019
2019-02-08,Seattle,Aggravated Assault,Assault,6,2019
2019-02-09,Seattle,Theft From Motor Vehicle,Theft,1,2019
2019-02-10,Seattle,Motor Vehicle Theft,Theft,1,2019
2019-02-11,Seattle,Intimidation,Assault,6,2019
2019-02-12,Seattle,Trespass of Real,Trespassing,3,2019
2019-02-13,Seattle,All Other Larceny,Theft,1,2019
2019-02-14,Seattle,Intimidation,Assault,6,2019
2019-02-15,Seattle,Trespass of Real,Trespassing,3,2019
2019-02-16,Seattle,Trespass of Real,Trespassing,3,2019
2019-02-17,Seattle,Theft From Building,Theft,1,2019
2019-02-18,Seattle,Shoplifting,Theft,1,2019
2019-02-19,Seattle,Shoplifting,Theft,1,2019
2019-02-20,Seattle,All Other Offenses,Other,0,2019
2019-02-21,Seattle,Shoplifting,Theft,1,2019
2019-02-22,Seattle,Simple Assault,Assault,6,2019
2019-02-23,Seattle,Theft From Motor Vehicle,Theft,1,2019
2019-02-24,Seattle,Theft From Motor Vehicle,Theft,1,2019
2019-02-25,Seattle,Theft From Motor Vehicle,Theft,1,2019
2019-02-26,Seattle,Drug/Narcotic Violations,Drug Offense,2,2019
2019-02-27,Seattle,Burglary/Breaking & Entering,Burglary,4,2019
2019-02-28,Seattle,All Other Larceny,Theft,1,2019
2019-03-01,Seattle,Trespass of Real,Trespassing,3,2019
2019-03-02,Seattle,Destruction/Damage/Vandalism of Property,Vandalism,2,2019
2019-03-03,Seattle,Theft From Motor Vehicle,Theft,1,2019
2019-03-04,Seattle,Drug/Narcotic Violations,Drug Offense,2,2019
2019-03-05,Seattle,Theft From Motor Vehicle,Theft,1,2019
2019-03-06,Seattle,Driving Under the Influence,Public Order,2,2019
2019-03-07,Seattle,Burglary/Breaking & Entering,Burglary,4,2019
2019-03-08,Seattle,Credit Card/Automated Teller Machine Fraud,Fraud,1,2019
2019-03-09,Seattle,All Other Offenses,Other,0,2019
2019-03-10,Seattle,All Other Offenses,Other,0,2019
2019-03-11,Seattle,Theft From Motor Vehicle,Theft,1,2019
2019-03-12,Seattle,Simple Assault,Assault,6,2019
2019-03-13,Seattle,All Other Offenses,Other,0,2019
2019-03-14,Seattle,All Other Larceny,Theft,1,2019
2019-03-15,Seattle,All Other Offenses,Other,0,2019
2019-03-16,Seattle,Theft From Building,Theft,1,2019
